FID,LE_ID,ENGLISH,COUNTY,GUID,Pop2016,C19_P14_T,P14_100k,P14_100k_T,Ire_IncP14,EventDate
1,13170402,BALLYBAY-CLONES LEA-5,MONAGHAN,2ae19629-3f20-13a3-e055-000000000001,17255,55,318.7,318.7,279.3,2020/10/19 00:00:00+00
2,1380405,CLANE LEA-5,KILDARE,2ae19629-3ef4-13a3-e055-999880000001,28437,54,189.9,189.9,279.3,2020/10/19 00:00:00+00
3,1320400,CAVAN - BELTURBET LEA-6,CAVAN,2ae19629-3f29-13a3-e055-000000000001,25959,201,774.3,774.3,279.3,2020/10/19 00:00:00+00
4,13260412,TALLAGHT CENTRAL LEA-6,DUBLIN,2ae19629-3f51-13a3-e055-000000000001,43215,80,185.1,185.1,279.3,2020/10/19 00:00:00+00
5,13230401,MOATE LEA-4,WESTMEATH,2ae19629-3f37-13a3-e055-000000000001,18444,40,216.9,216.9,279.3,2020/10/19 00:00:00+00
6,13210400,NENAGH LEA-5,TIPPERARY,2ae19629-3f2c-13a3-e055-000000000001,21373,Less than 5 cases,0,Less than 5 cases,279.3,2020/10/19 00:00:00+00
7,13140400,DUNDALK-CARLINGFORD LEA-6,LOUTH,2ae19629-3f10-13a3-e055-000000000001,25599,57,222.7,222.7,279.3,2020/10/19 00:00:00+00
8,13260422,BALLYFERMOT-DRIMNAGH LEA-5,DUBLIN,2ae19629-3f58-13a3-e055-000000000001,46068,150,325.6,325.6,279.3,2020/10/19 00:00:00+00
9,13260406,DUNDRUM LEA-7,DUBLIN,2ae19629-3efd-13a3-e055-000000000001,37452,38,101.5,101.5,279.3,2020/10/19 00:00:00+00
10,13260404,HOWTH-MALAHIDE LEA-7,DUBLIN,2ae19629-3efb-13a3-e055-000000000001,56139,115,204.8,204.8,279.3,2020/10/19 00:00:00+00
11,13260419,PALMERSTOWN-FONTHILL LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-999770000001,38035,147,386.5,386.5,279.3,2020/10/19 00:00:00+00
12,13260402,BLANCHARDSTOWN-MULHUDDART LEA-5,DUBLIN,2ae19629-3ef9-13a3-e055-000000000001,35307,125,354,354,279.3,2020/10/19 00:00:00+00
13,13260405,STILLORGAN LEA-6,DUBLIN,2ae19629-3efc-13a3-e055-000000000001,30508,42,137.7,137.7,279.3,2020/10/19 00:00:00+00
14,13260425,SOUTH EAST INNER CITY LEA-5,DUBLIN,2ae19629-3f5b-13a3-e055-000000000001,40603,75,184.7,184.7,279.3,2020/10/19 00:00:00+00
15,13260426,NORTH INNER CITY LEA-7,DUBLIN,2ae19629-3f5c-13a3-e055-000000000001,63612,131,205.9,205.9,279.3,2020/10/19 00:00:00+00
16,13150403,BELMULLET-LEA-3,MAYO,2ae19629-3f17-13a3-e055-000000000001,12600,41,325.4,325.4,279.3,2020/10/19 00:00:00+00
17,13260430,SOUTH WEST INNER CITY LEA-5,DUBLIN,2ae19629-3ef4-13a3-e055-999660000001,42344,99,233.8,233.8,279.3,2020/10/19 00:00:00+00
18,1340403,CARRIGALINE LEA-6,CORK,2ae19629-3f66-13a3-e055-000000000001,35141,108,307.3,307.3,279.3,2020/10/19 00:00:00+00
19,1390400,CASTLECOMER LEA-6,KILKENNY,2ae19629-3f74-13a3-e055-000000000001,23581,34,144.2,144.2,279.3,2020/10/19 00:00:00+00
20,13260400,RUSH-LUSK LEA-5,DUBLIN,2ae19629-3ef7-13a3-e055-000000000001,34674,54,155.7,155.7,279.3,2020/10/19 00:00:00+00
21,13150401,CLAREMORRIS LEA-6,MAYO,2ae19629-3f15-13a3-e055-000000000001,27141,47,173.2,173.2,279.3,2020/10/19 00:00:00+00
22,1370402,KILLARNEY LEA-7,KERRY,2ae19629-3f6d-13a3-e055-000000000001,29607,74,249.9,249.9,279.3,2020/10/19 00:00:00+00
23,13220420,TRAMORE-WATERFORD CITY WEST LEA-6,WATERFORD,2ae19629-3f33-13a3-e055-000000000001,22372,58,259.3,259.3,279.3,2020/10/19 00:00:00+00
24,1360404,ATHENRY-ORANMORE LEA-7,GALWAY,2ae19629-3f4c-13a3-e055-000000000001,32833,47,143.1,143.1,279.3,2020/10/19 00:00:00+00
